TIME,,C1,C2,,C4
01/06/2018 15:45,,605.5407485,396.5064081,,477.2362899
01/06/2018 15:50,,605.5407485,402.7240291,,473.9520663
01/06/2018 15:55,,594.0614316,402.7240291,,473.9520663
01/06/2018 16:00,,594.0614316,398.9874146,,458.9838816
01/06/2018 16:05,,585.2562432,398.9874146,,458.9838816
01/06/2018 16:10,,585.2562432,397.463491,,451.6202707
01/06/2018 16:15,,586.0712343,397.463491,,451.6202707
01/06/2018 16:20,,586.0712343,375.9410899,,442.133713
01/06/2018 16:25,,593.3950803,375.9410899,,442.133713
01/06/2018 16:30,,593.3950803,358.9559691,,431.4184458
01/06/2018 16:35,,612.8898666,358.9559691,,431.4184458
01/06/2018 16:40,,612.8898666,353.6772893,,416.0096628
01/06/2018 16:45,,609.5234288,353.6772893,,416.0096628
01/06/2018 16:50,,609.5234288,352.6210878,,397.5974312
01/06/2018 16:55,,610.6534728,352.6210878,,397.5974312
01/06/2018 17:00,,610.6534728,352.9028381,,386.4655691
01/06/2018 17:05,,623.3681634,352.9028381,,386.4655691
01/06/2018 17:10,,623.3681634,351.6697608,,371.0596305
01/06/2018 17:15,,620.9945947,351.6697608,,371.0596305
01/06/2018 17:20,,620.9945947,346.0269657,,355.1252394
01/06/2018 17:25,,630.2489301,346.0269657,,355.1252394
01/06/2018 17:30,,630.2489301,346.5653542,,337.9333545
01/06/2018 17:35,,641.907986,346.5653542,,337.9333545
01/06/2018 17:40,,641.907986,361.3762023,,336.0077707
01/06/2018 17:45,,647.1357841,361.3762023,,336.0077707
01/06/2018 17:50,,647.1357841,366.7542942,,318.8312731
01/06/2018 17:55,,658.830252,366.7542942,,318.8312731
01/06/2018 18:00,,658.830252,362.0208497,,310.9800781
01/06/2018 18:05,,677.3067408,362.0208497,,310.9800781
01/06/2018 18:10,,677.3067408,374.858435,,304.0632809
01/06/2018 18:15,,702.9557217,374.858435,,304.0632809
01/06/2018 18:20,,702.9557217,390.9469161,,291.8923118
01/06/2018 18:25,,710.6120939,390.9469161,,291.8923118
